type,mcc,mnc,lac,cid,colonne6,long,lat,Colonne9,Colonne10,Colonne11,Colonne12,Colonne13,Colonne14
GSM,372,1,2400,11941,0,-72.289993,18.514297,1000,15,1344802381,1344802381,1344802381,0
GSM,372,1,2400,11142,0,-72.297675,18.517186,1000,33,1345494796,1345494796,1345494796,0
GSM,372,1,2400,33190,0,-72.312698364258,18.530502319336,1000,2,1344802922,1344802922,1344802922,0
GSM,372,1,2200,33201,0,-72.332748,18.530502,1000,5,1344946478,1344946478,1344946478,0
GSM,372,1,2200,33200,0,-72.331238,18.530502,1000,10,1344947046,1344947046,1344947046,0
GSM,372,1,2200,10070,0,-72.320595,18.532562,1216,4,1345470854,1345470854,1345470854,0
GSM,372,1,2200,11681,0,-72.329807,18.539829,1080,24,1345709551,1345709551,1345709551,0
GSM,372,1,2300,11612,0,-72.319564819336,18.540115356445,1000,3,1344947555,1344947555,1344947555,0
GSM,372,1,2200,11132,0,-72.319564819336,18.540115356445,1000,4,1344951624,1344951624,1344951624,0
GSM,372,1,2200,11522,0,-72.331467,18.530502,1000,6,1344952371,1344952371,1344952371,0
GSM,372,1,2300,11742,0,-72.294159,18.550758,1000,4,1345225298,1345225298,1345225298,0
GSM,372,1,2400,10230,0,-72.306727,18.533894,1034,66,1345666878,1345666878,1345666878,0
GSM,372,1,2400,10812,0,-72.295739,18.534143,1000,63,1345450495,1345450495,1345450495,0
GSM,372,1,2400,10321,0,-72.293331,18.53508,1000,39,1345470039,1345470039,1345470039,0
GSM,372,1,2400,33210,0,-72.289658,18.531418,1000,9,1345450589,1345450589,1345450589,0
GSM,372,1,2400,10240,0,-72.287979125977,18.52912902832,1000,4,1345450609,1345450609,1345450609,0
GSM,372,1,2400,10241,0,-72.284943,18.523708,1000,19,1345450815,1345450815,1345450815,0
GSM,372,1,2400,10560,0,-72.282486,18.519974,1000,6,1345450846,1345450846,1345450846,0
GSM,372,1,2400,10940,0,-72.282486,18.517838,1000,9,1345450991,1345450991,1345450991,0
GSM,372,1,2400,10111,0,-72.295532,18.537369,1000,4,1345470069,1345470069,1345470069,0
GSM,372,1,2300,33301,0,-72.297134,18.536453,1000,9,1345470135,1345470135,1345470135,0
GSM,372,1,2400,10322,0,-72.303944,18.533442,1076,64,1345470803,1345470803,1345470803,0
GSM,372,1,2300,10491,0,-72.314621,18.533249,1000,5,1345470833,1345470833,1345470833,0
GSM,372,1,2200,11520,0,-72.331524,18.532791,1000,24,1345471342,1345471342,1345471342,0
GSM,372,1,2400,10991,0,-72.291641,18.515396,1000,9,1345497358,1345497358,1345497358,0
GSM,372,1,2400,10102,0,-72.289254,18.5152,1000,14,1345497336,1345497336,1345497336,0
GSM,372,1,3100,11492,0,-72.301712036133,18.503036499023,1000,3,1345496664,1345496664,1345496664,0
GSM,372,1,3100,11230,0,-72.301712036133,18.503036499023,1000,1,1345496676,1345496676,1345496676,0
GSM,372,1,2400,11051,0,-72.289352,18.514415,1000,7,1345497322,1345497322,1345497322,0
GSM,372,1,2200,11471,0,-72.316818,18.533249,1000,4,1345497826,1345497826,1345497826,0
GSM,372,1,2400,33211,0,-72.294846,18.528817,1000,22,1345667234,1345667234,1345667234,0
UMTS,372,1,37001,65655647,0,-72.325792,18.555985,1000,12,1506427102,1506427102,1506427102,0
UMTS,372,1,37001,65653778,0,-72.3246,18.553799,1514,22,1492540200,1492540200,1492540200,0
UMTS,372,1,37001,65655569,0,-72.325401,18.556595,1000,4,1347186337,1347186337,1347186337,0
UMTS,372,1,37001,65653781,0,-72.324586,18.552112,1338,23,1492540200,1492540200,1492540200,0
GSM,372,1,20001,10943,0,-72.593365,19.385147,2065,24,1370538055,1370538055,1370538055,0
UMTS,372,1,37002,65721974,0,-72.32622,18.556595,1000,13,1347191736,1347191736,1347191736,0
UMTS,372,1,37001,65656451,0,-72.326431274414,18.556594848633,1000,2,1347190101,1347190101,1347190101,0
UMTS,372,1,37001,65655759,0,-72.326329,18.556279,1201,14,1505773320,1505773320,1505773320,0
UMTS,372,1,37001,65653899,0,-72.327118,18.554192,1000,4,1444035723,1444035723,1444035723,0
GSM,372,1,4000,30190,0,-72.790603637695,18.42887878418,1000,3,1349611736,1349611736,1349611736,0
GSM,372,1,27001,28003,0,-72.789505,18.430252,1000,5,1357061420,1357061420,1357061420,0
GSM,372,1,27001,26312,0,-72.793350219727,18.430252075195,1000,1,1349611909,1349611909,1349611909,0
GSM,372,1,27001,29572,0,-72.82356262207,18.386306762695,1000,1,1355669513,1355669513,1355669513,0
GSM,372,1,27001,29452,0,-72.823563,18.386993,1000,2,1355669524,1355669524,1355669524,0
GSM,372,1,27001,28543,0,-72.82356262207,18.386306762695,1000,2,1355669974,1355669974,1355669974,0
GSM,372,1,27001,29493,0,-72.82356262207,18.386306762695,1000,1,1355669990,1355669990,1355669990,0
GSM,372,1,28001,32733,0,-72.82356262207,18.386306762695,1000,1,1355669996,1355669996,1355669996,0
GSM,372,1,20001,10472,0,-72.82356262207,18.386306762695,1000,1,1355670025,1355670025,1355670025,0
